Run,Times List,Average QBSolv time,Modes,Stoppedness,Goodness,Badness,Remaining Cars
0,,,,21600.0,0,641760.0,6230
1,"[7.59976585, 7.360506529000002, 7.479552910000002, 7.459792943999993, 7.930149854999996, 7.5329748710000075, 7.430973463000001, 7.598762650000012, 7.364441487000022, 7.356860243, 7.597559439000008, 7.682135748000007, 7.4497218509999925, 7.5058846359999905, 7.7583485669999845, 7.689217138000004, 7.36819493400003, 7.556647105999957, 7.564273728999979, 7.507615976000011, 7.670966859000032, 11.734776162999992, 7.79317119000001, 7.535040262999985, 7.8198994489999905, 7.583038173000034, 7.579078083000013, 7.458540515000038, 11.097041607999984, 7.997527255000023, 7.836728004999998, 7.74259860799998, 7.536741932000041, 11.531650186999968, 7.497534759999894, 8.693260654000028, 7.827950528999963, 7.661312894000048, 7.527384318000031, 7.497216417000004, 7.567412481000019, 7.63409350500001, 7.717025390000003, 7.625256691000004, 7.6076033050001115, 7.55487946400001, 10.186354666999932, 7.4224019340000496, 7.40179410099995, 7.593858698999952, 7.3439572220000855, 7.858185800000001, 7.4749725379999745, 7.555736756999977, 7.39082452599996, 7.4846156830000155, 11.887022035999962, 7.5011101870001085, 25.493227004999994, 11.257967917000087]",,,18418.5,153,1225888.9999999993,6230
2,"[7.59976585, 7.360506529000002, 7.479552910000002, 7.459792943999993, 7.930149854999996, 7.5329748710000075, 7.430973463000001, 7.598762650000012, 7.364441487000022, 7.356860243, 7.597559439000008, 7.682135748000007, 7.4497218509999925, 7.5058846359999905, 7.7583485669999845, 7.689217138000004, 7.36819493400003, 7.556647105999957, 7.564273728999979, 7.507615976000011, 7.670966859000032, 11.734776162999992, 7.79317119000001, 7.535040262999985, 7.8198994489999905, 7.583038173000034, 7.579078083000013, 7.458540515000038, 11.097041607999984, 7.997527255000023, 7.836728004999998, 7.74259860799998, 7.536741932000041, 11.531650186999968, 7.497534759999894, 8.693260654000028, 7.827950528999963, 7.661312894000048, 7.527384318000031, 7.497216417000004, 7.567412481000019, 7.63409350500001, 7.717025390000003, 7.625256691000004, 7.6076033050001115, 7.55487946400001, 10.186354666999932, 7.4224019340000496, 7.40179410099995, 7.593858698999952, 7.3439572220000855, 7.858185800000001, 7.4749725379999745, 7.555736756999977, 7.39082452599996, 7.4846156830000155, 11.887022035999962, 7.5011101870001085, 25.493227004999994, 11.257967917000087]",,,17335.0,290,1814193.999999999,6230
3,"[7.59976585, 7.360506529000002, 7.479552910000002, 7.459792943999993, 7.930149854999996, 7.5329748710000075, 7.430973463000001, 7.598762650000012, 7.364441487000022, 7.356860243, 7.597559439000008, 7.682135748000007, 7.4497218509999925, 7.5058846359999905, 7.7583485669999845, 7.689217138000004, 7.36819493400003, 7.556647105999957, 7.564273728999979, 7.507615976000011, 7.670966859000032, 11.734776162999992, 7.79317119000001, 7.535040262999985, 7.8198994489999905, 7.583038173000034, 7.579078083000013, 7.458540515000038, 11.097041607999984, 7.997527255000023, 7.836728004999998, 7.74259860799998, 7.536741932000041, 11.531650186999968, 7.497534759999894, 8.693260654000028, 7.827950528999963, 7.661312894000048, 7.527384318000031, 7.497216417000004, 7.567412481000019, 7.63409350500001, 7.717025390000003, 7.625256691000004, 7.6076033050001115, 7.55487946400001, 10.186354666999932, 7.4224019340000496, 7.40179410099995, 7.593858698999952, 7.3439572220000855, 7.858185800000001, 7.4749725379999745, 7.555736756999977, 7.39082452599996, 7.4846156830000155, 11.887022035999962, 7.5011101870001085, 25.493227004999994, 11.257967917000087]",,,16776.0,427,2406675.0000000005,6230
4,"[7.59976585, 7.360506529000002, 7.479552910000002, 7.459792943999993, 7.930149854999996, 7.5329748710000075, 7.430973463000001, 7.598762650000012, 7.364441487000022, 7.356860243, 7.597559439000008, 7.682135748000007, 7.4497218509999925, 7.5058846359999905, 7.7583485669999845, 7.689217138000004, 7.36819493400003, 7.556647105999957, 7.564273728999979, 7.507615976000011, 7.670966859000032, 11.734776162999992, 7.79317119000001, 7.535040262999985, 7.8198994489999905, 7.583038173000034, 7.579078083000013, 7.458540515000038, 11.097041607999984, 7.997527255000023, 7.836728004999998, 7.74259860799998, 7.536741932000041, 11.531650186999968, 7.497534759999894, 8.693260654000028, 7.827950528999963, 7.661312894000048, 7.527384318000031, 7.497216417000004, 7.567412481000019, 7.63409350500001, 7.717025390000003, 7.625256691000004, 7.6076033050001115, 7.55487946400001, 10.186354666999932, 7.4224019340000496, 7.40179410099995, 7.593858698999952, 7.3439572220000855, 7.858185800000001, 7.4749725379999745, 7.555736756999977, 7.39082452599996, 7.4846156830000155, 11.887022035999962, 7.5011101870001085, 25.493227004999994, 11.257967917000087]",,,16426.8,564,3003332.000000001,6230
5,"[7.59976585, 7.360506529000002, 7.479552910000002, 7.459792943999993, 7.930149854999996, 7.5329748710000075, 7.430973463000001, 7.598762650000012, 7.364441487000022, 7.356860243, 7.597559439000008, 7.682135748000007, 7.4497218509999925, 7.5058846359999905, 7.7583485669999845, 7.689217138000004, 7.36819493400003, 7.556647105999957, 7.564273728999979, 7.507615976000011, 7.670966859000032, 11.734776162999992, 7.79317119000001, 7.535040262999985, 7.8198994489999905, 7.583038173000034, 7.579078083000013, 7.458540515000038, 11.097041607999984, 7.997527255000023, 7.836728004999998, 7.74259860799998, 7.536741932000041, 11.531650186999968, 7.497534759999894, 8.693260654000028, 7.827950528999963, 7.661312894000048, 7.527384318000031, 7.497216417000004, 7.567412481000019, 7.63409350500001, 7.717025390000003, 7.625256691000004, 7.6076033050001115, 7.55487946400001, 10.186354666999932, 7.4224019340000496, 7.40179410099995, 7.593858698999952, 7.3439572220000855, 7.858185800000001, 7.4749725379999745, 7.555736756999977, 7.39082452599996, 7.4846156830000155, 11.887022035999962, 7.5011101870001085, 25.493227004999994, 11.257967917000087]",,"[2, 3, 3, 3, 3, 0, 0, 3, 5, 0, 3, 3, 0, 0, 3, 0, 0, 0, 0, 3, 2, 3, 3, 0, 0, 2, 3, 1, 3, 0, 1, 3, 3, 5, 3, 1]",16615.333333333332,626,3499436.100000004,6230
6,"[7.59976585, 7.360506529000002, 7.479552910000002, 7.459792943999993, 7.930149854999996, 7.5329748710000075, 7.430973463000001, 7.598762650000012, 7.364441487000022, 7.356860243, 7.597559439000008, 7.682135748000007, 7.4497218509999925, 7.5058846359999905, 7.7583485669999845, 7.689217138000004, 7.36819493400003, 7.556647105999957, 7.564273728999979, 7.507615976000011, 7.670966859000032, 11.734776162999992, 7.79317119000001, 7.535040262999985, 7.8198994489999905, 7.583038173000034, 7.579078083000013, 7.458540515000038, 11.097041607999984, 7.997527255000023, 7.836728004999998, 7.74259860799998, 7.536741932000041, 11.531650186999968, 7.497534759999894, 8.693260654000028, 7.827950528999963, 7.661312894000048, 7.527384318000031, 7.497216417000004, 7.567412481000019, 7.63409350500001, 7.717025390000003, 7.625256691000004, 7.6076033050001115, 7.55487946400001, 10.186354666999932, 7.4224019340000496, 7.40179410099995, 7.593858698999952, 7.3439572220000855, 7.858185800000001, 7.4749725379999745, 7.555736756999977, 7.39082452599996, 7.4846156830000155, 11.887022035999962, 7.5011101870001085, 25.493227004999994, 11.257967917000087]",,,16208.714285714286,697,4000069.8000000035,6230
7,"[7.59976585, 7.360506529000002, 7.479552910000002, 7.459792943999993, 7.930149854999996, 7.5329748710000075, 7.430973463000001, 7.598762650000012, 7.364441487000022, 7.356860243, 7.597559439000008, 7.682135748000007, 7.4497218509999925, 7.5058846359999905, 7.7583485669999845, 7.689217138000004, 7.36819493400003, 7.556647105999957, 7.564273728999979, 7.507615976000011, 7.670966859000032, 11.734776162999992, 7.79317119000001, 7.535040262999985, 7.8198994489999905, 7.583038173000034, 7.579078083000013, 7.458540515000038, 11.097041607999984, 7.997527255000023, 7.836728004999998, 7.74259860799998, 7.536741932000041, 11.531650186999968, 7.497534759999894, 8.693260654000028, 7.827950528999963, 7.661312894000048, 7.527384318000031, 7.497216417000004, 7.567412481000019, 7.63409350500001, 7.717025390000003, 7.625256691000004, 7.6076033050001115, 7.55487946400001, 10.186354666999932, 7.4224019340000496, 7.40179410099995, 7.593858698999952, 7.3439572220000855, 7.858185800000001, 7.4749725379999745, 7.555736756999977, 7.39082452599996, 7.4846156830000155, 11.887022035999962, 7.5011101870001085, 25.493227004999994, 11.257967917000087]",,,15899.75,759,4505297.300000002,6230
8,"[7.59976585, 7.360506529000002, 7.479552910000002, 7.459792943999993, 7.930149854999996, 7.5329748710000075, 7.430973463000001, 7.598762650000012, 7.364441487000022, 7.356860243, 7.597559439000008, 7.682135748000007, 7.4497218509999925, 7.5058846359999905, 7.7583485669999845, 7.689217138000004, 7.36819493400003, 7.556647105999957, 7.564273728999979, 7.507615976000011, 7.670966859000032, 11.734776162999992, 7.79317119000001, 7.535040262999985, 7.8198994489999905, 7.583038173000034, 7.579078083000013, 7.458540515000038, 11.097041607999984, 7.997527255000023, 7.836728004999998, 7.74259860799998, 7.536741932000041, 11.531650186999968, 7.497534759999894, 8.693260654000028, 7.827950528999963, 7.661312894000048, 7.527384318000031, 7.497216417000004, 7.567412481000019, 7.63409350500001, 7.717025390000003, 7.625256691000004, 7.6076033050001115, 7.55487946400001, 10.186354666999932, 7.4224019340000496, 7.40179410099995, 7.593858698999952, 7.3439572220000855, 7.858185800000001, 7.4749725379999745, 7.555736756999977, 7.39082452599996, 7.4846156830000155, 11.887022035999962, 7.5011101870001085, 25.493227004999994, 11.257967917000087]",,,15655.666666666666,951,5015023.400000005,6230
9,"[7.59976585, 7.360506529000002, 7.479552910000002, 7.459792943999993, 7.930149854999996, 7.5329748710000075, 7.430973463000001, 7.598762650000012, 7.364441487000022, 7.356860243, 7.597559439000008, 7.682135748000007, 7.4497218509999925, 7.5058846359999905, 7.7583485669999845, 7.689217138000004, 7.36819493400003, 7.556647105999957, 7.564273728999979, 7.507615976000011, 7.670966859000032, 11.734776162999992, 7.79317119000001, 7.535040262999985, 7.8198994489999905, 7.583038173000034, 7.579078083000013, 7.458540515000038, 11.097041607999984, 7.997527255000023, 7.836728004999998, 7.74259860799998, 7.536741932000041, 11.531650186999968, 7.497534759999894, 8.693260654000028, 7.827950528999963, 7.661312894000048, 7.527384318000031, 7.497216417000004, 7.567412481000019, 7.63409350500001, 7.717025390000003, 7.625256691000004, 7.6076033050001115, 7.55487946400001, 10.186354666999932, 7.4224019340000496, 7.40179410099995, 7.593858698999952, 7.3439572220000855, 7.858185800000001, 7.4749725379999745, 7.555736756999977, 7.39082452599996, 7.4846156830000155, 11.887022035999962, 7.5011101870001085, 25.493227004999994, 11.257967917000087]",,,15457.2,1145,5529343.300000001,6230
