Run,Times List,Average QBSolv time,Modes,Stoppedness,Goodness,Badness,Remaining Cars
0,,,,4320.0,0,122772.0,
1,"[0.9043638, 1.1206981, 1.5706619000000002, 1.3229491000000007, 1.4311035999999993, 2.1414003, 1.1283239999999992, 0.9818332999999999, 1.7191939000000005, 2.3835629999999988, 3.9783307000000008, 2.2129642999999994, 3.1775434999999987, 1.9616724000000012, 3.3759882999999995, 2.0880174999999994, 2.2163453000000004, 3.1543714999999963, 4.875876500000004, 2.027002700000004, 1.7641132999999982, 2.0316145999999975, 4.4819280999999975, 2.2572951000000003, 2.6380894000000055, 2.8591592000000077, 2.087428299999999, 2.306343300000009, 2.2554358000000008, 2.0641397999999924]",0.9043638,,3677.0,191,230893.99999999994,
2,"[0.9043638, 1.1206981, 1.5706619000000002, 1.3229491000000007, 1.4311035999999993, 2.1414003, 1.1283239999999992, 0.9818332999999999, 1.7191939000000005, 2.3835629999999988, 3.9783307000000008, 2.2129642999999994, 3.1775434999999987, 1.9616724000000012, 3.3759882999999995, 2.0880174999999994, 2.2163453000000004, 3.1543714999999963, 4.875876500000004, 2.027002700000004, 1.7641132999999982, 2.0316145999999975, 4.4819280999999975, 2.2572951000000003, 2.6380894000000055, 2.8591592000000077, 2.087428299999999, 2.306343300000009, 2.2554358000000008, 2.0641397999999924]",0.9043638,,3443.0,365,343371.89999999997,
3,"[0.9043638, 1.1206981, 1.5706619000000002, 1.3229491000000007, 1.4311035999999993, 2.1414003, 1.1283239999999992, 0.9818332999999999, 1.7191939000000005, 2.3835629999999988, 3.9783307000000008, 2.2129642999999994, 3.1775434999999987, 1.9616724000000012, 3.3759882999999995, 2.0880174999999994, 2.2163453000000004, 3.1543714999999963, 4.875876500000004, 2.027002700000004, 1.7641132999999982, 2.0316145999999975, 4.4819280999999975, 2.2572951000000003, 2.6380894000000055, 2.8591592000000077, 2.087428299999999, 2.306343300000009, 2.2554358000000008, 2.0641397999999924]",0.9043638,,3311.25,539,460205.69999999995,
4,"[0.9043638, 1.1206981, 1.5706619000000002, 1.3229491000000007, 1.4311035999999993, 2.1414003, 1.1283239999999992, 0.9818332999999999, 1.7191939000000005, 2.3835629999999988, 3.9783307000000008, 2.2129642999999994, 3.1775434999999987, 1.9616724000000012, 3.3759882999999995, 2.0880174999999994, 2.2163453000000004, 3.1543714999999963, 4.875876500000004, 2.027002700000004, 1.7641132999999982, 2.0316145999999975, 4.4819280999999975, 2.2572951000000003, 2.6380894000000055, 2.8591592000000077, 2.087428299999999, 2.306343300000009, 2.2554358000000008, 2.0641397999999924]",0.9043638,,3220.4,713,581395.4,
5,"[0.9043638, 1.1206981, 1.5706619000000002, 1.3229491000000007, 1.4311035999999993, 2.1414003, 1.1283239999999992, 0.9818332999999999, 1.7191939000000005, 2.3835629999999988, 3.9783307000000008, 2.2129642999999994, 3.1775434999999987, 1.9616724000000012, 3.3759882999999995, 2.0880174999999994, 2.2163453000000004, 3.1543714999999963, 4.875876500000004, 2.027002700000004, 1.7641132999999982, 2.0316145999999975, 4.4819280999999975, 2.2572951000000003, 2.6380894000000055, 2.8591592000000077, 2.087428299999999, 2.306343300000009, 2.2554358000000008, 2.0641397999999924]",0.9043638,"[5, 2, 3, 2, 4, 4, 5, 3, 0, 3, 0, 4, 2, 3, 0, 3, 0, 0, 5, 3, 3, 3, 0, 0, 0, 0, 3, 3, 3, 4, 3, 1, 3, 3, 1, 4]",3221.1666666666665,718,646075.8999999986,
6,"[0.9043638, 1.1206981, 1.5706619000000002, 1.3229491000000007, 1.4311035999999993, 2.1414003, 1.1283239999999992, 0.9818332999999999, 1.7191939000000005, 2.3835629999999988, 3.9783307000000008, 2.2129642999999994, 3.1775434999999987, 1.9616724000000012, 3.3759882999999995, 2.0880174999999994, 2.2163453000000004, 3.1543714999999963, 4.875876500000004, 2.027002700000004, 1.7641132999999982, 2.0316145999999975, 4.4819280999999975, 2.2572951000000003, 2.6380894000000055, 2.8591592000000077, 2.087428299999999, 2.306343300000009, 2.2554358000000008, 2.0641397999999924]",1.01253095,,3080.1428571428573,724,714800.8999999976,
7,"[0.9043638, 1.1206981, 1.5706619000000002, 1.3229491000000007, 1.4311035999999993, 2.1414003, 1.1283239999999992, 0.9818332999999999, 1.7191939000000005, 2.3835629999999988, 3.9783307000000008, 2.2129642999999994, 3.1775434999999987, 1.9616724000000012, 3.3759882999999995, 2.0880174999999994, 2.2163453000000004, 3.1543714999999963, 4.875876500000004, 2.027002700000004, 1.7641132999999982, 2.0316145999999975, 4.4819280999999975, 2.2572951000000003, 2.6380894000000055, 2.8591592000000077, 2.087428299999999, 2.306343300000009, 2.2554358000000008, 2.0641397999999924]",1.01253095,,2970.5,729,787880.6999999974,
8,"[0.9043638, 1.1206981, 1.5706619000000002, 1.3229491000000007, 1.4311035999999993, 2.1414003, 1.1283239999999992, 0.9818332999999999, 1.7191939000000005, 2.3835629999999988, 3.9783307000000008, 2.2129642999999994, 3.1775434999999987, 1.9616724000000012, 3.3759882999999995, 2.0880174999999994, 2.2163453000000004, 3.1543714999999963, 4.875876500000004, 2.027002700000004, 1.7641132999999982, 2.0316145999999975, 4.4819280999999975, 2.2572951000000003, 2.6380894000000055, 2.8591592000000077, 2.087428299999999, 2.306343300000009, 2.2554358000000008, 2.0641397999999924]",1.01253095,,2881.777777777778,888,865315.2999999963,
9,"[0.9043638, 1.1206981, 1.5706619000000002, 1.3229491000000007, 1.4311035999999993, 2.1414003, 1.1283239999999992, 0.9818332999999999, 1.7191939000000005, 2.3835629999999988, 3.9783307000000008, 2.2129642999999994, 3.1775434999999987, 1.9616724000000012, 3.3759882999999995, 2.0880174999999994, 2.2163453000000004, 3.1543714999999963, 4.875876500000004, 2.027002700000004, 1.7641132999999982, 2.0316145999999975, 4.4819280999999975, 2.2572951000000003, 2.6380894000000055, 2.8591592000000077, 2.087428299999999, 2.306343300000009, 2.2554358000000008, 2.0641397999999924]",1.01253095,,2807.7,1047,947104.699999996,
10,"[0.9043638, 1.1206981, 1.5706619000000002, 1.3229491000000007, 1.4311035999999993, 2.1414003, 1.1283239999999992, 0.9818332999999999, 1.7191939000000005, 2.3835629999999988, 3.9783307000000008, 2.2129642999999994, 3.1775434999999987, 1.9616724000000012, 3.3759882999999995, 2.0880174999999994, 2.2163453000000004, 3.1543714999999963, 4.875876500000004, 2.027002700000004, 1.7641132999999982, 2.0316145999999975, 4.4819280999999975, 2.2572951000000003, 2.6380894000000055, 2.8591592000000077, 2.087428299999999, 2.306343300000009, 2.2554358000000008, 2.0641397999999924]",1.01253095,"[5, 3, 3, 3, 2, 0, 0, 2, 4, 3, 0, 0, 5, 3, 0, 0, 1, 4, 2, 0, 3, 3, 3, 0, 0, 0, 1, 3, 4, 0, 3, 5, 3, 3, 3, 0]",2805.909090909091,1135,1020597.899999995,
11,"[0.9043638, 1.1206981, 1.5706619000000002, 1.3229491000000007, 1.4311035999999993, 2.1414003, 1.1283239999999992, 0.9818332999999999, 1.7191939000000005, 2.3835629999999988, 3.9783307000000008, 2.2129642999999994, 3.1775434999999987, 1.9616724000000012, 3.3759882999999995, 2.0880174999999994, 2.2163453000000004, 3.1543714999999963, 4.875876500000004, 2.027002700000004, 1.7641132999999982, 2.0316145999999975, 4.4819280999999975, 2.2572951000000003, 2.6380894000000055, 2.8591592000000077, 2.087428299999999, 2.306343300000009, 2.2554358000000008, 2.0641397999999924]",1.1985746,,2721.8333333333335,1229,1096723.799999997,
